group,function,value,sample_time_nanos,iteration_count
Day3 - Part2,(default),,1170600,1
Day3 - Part2,(default),,3192528,2
Day3 - Part2,(default),,3843187,3
Day3 - Part2,(default),,7932573,4
Day3 - Part2,(default),,6121246,5
Day3 - Part2,(default),,8142713,6
Day3 - Part2,(default),,11350272,7
Day3 - Part2,(default),,10395681,8
Day3 - Part2,(default),,13995394,9
Day3 - Part2,(default),,14886817,10
Day3 - Part2,(default),,13531065,11
Day3 - Part2,(default),,14611372,12
Day3 - Part2,(default),,15595102,13
Day3 - Part2,(default),,16910355,14
Day3 - Part2,(default),,18931450,15
Day3 - Part2,(default),,20322804,16
Day3 - Part2,(default),,21689106,17
Day3 - Part2,(default),,25174768,18
Day3 - Part2,(default),,22725221,19
Day3 - Part2,(default),,26943471,20
Day3 - Part2,(default),,25867470,21
Day3 - Part2,(default),,26590737,22
Day3 - Part2,(default),,30220015,23
Day3 - Part2,(default),,30001580,24
Day3 - Part2,(default),,35037708,25
Day3 - Part2,(default),,31876829,26
Day3 - Part2,(default),,32671247,27
Day3 - Part2,(default),,33477480,28
Day3 - Part2,(default),,34427348,29
Day3 - Part2,(default),,35623723,30
Day3 - Part2,(default),,37818268,31
Day3 - Part2,(default),,45808339,32
Day3 - Part2,(default),,39583670,33
Day3 - Part2,(default),,40439651,34
Day3 - Part2,(default),,42199248,35
Day3 - Part2,(default),,43966946,36
Day3 - Part2,(default),,44829788,37
Day3 - Part2,(default),,47304246,38
Day3 - Part2,(default),,46078226,39
Day3 - Part2,(default),,47880644,40
Day3 - Part2,(default),,48932393,41
Day3 - Part2,(default),,50508966,42
Day3 - Part2,(default),,52241567,43
Day3 - Part2,(default),,52770116,44
Day3 - Part2,(default),,53651345,45
Day3 - Part2,(default),,55345461,46
Day3 - Part2,(default),,58947303,47
Day3 - Part2,(default),,61020280,48
Day3 - Part2,(default),,59058853,49
Day3 - Part2,(default),,60568465,50
Day3 - Part2,(default),,60847794,51
Day3 - Part2,(default),,63453222,52
Day3 - Part2,(default),,62970174,53
Day3 - Part2,(default),,75822100,54
Day3 - Part2,(default),,68771463,55
Day3 - Part2,(default),,69075101,56
Day3 - Part2,(default),,71792885,57
Day3 - Part2,(default),,73056798,58
Day3 - Part2,(default),,71273769,59
Day3 - Part2,(default),,72783475,60
Day3 - Part2,(default),,73491121,61
Day3 - Part2,(default),,80984362,62
Day3 - Part2,(default),,76291500,63
Day3 - Part2,(default),,76955740,64
Day3 - Part2,(default),,77960197,65
Day3 - Part2,(default),,78382366,66
Day3 - Part2,(default),,82775706,67
Day3 - Part2,(default),,82023872,68
Day3 - Part2,(default),,82848591,69
Day3 - Part2,(default),,84271058,70
Day3 - Part2,(default),,84589839,71
Day3 - Part2,(default),,86382645,72
Day3 - Part2,(default),,87632603,73
Day3 - Part2,(default),,94190765,74
Day3 - Part2,(default),,90152386,75
Day3 - Part2,(default),,90871560,76
Day3 - Part2,(default),,91596833,77
Day3 - Part2,(default),,93457639,78
Day3 - Part2,(default),,95317758,79
Day3 - Part2,(default),,96693479,80
Day3 - Part2,(default),,109962570,81
Day3 - Part2,(default),,99590867,82
Day3 - Part2,(default),,99076986,83
Day3 - Part2,(default),,106608234,84
Day3 - Part2,(default),,108735953,85
Day3 - Part2,(default),,101891168,86
Day3 - Part2,(default),,105110472,87
Day3 - Part2,(default),,113047702,88
Day3 - Part2,(default),,110620488,89
Day3 - Part2,(default),,108201671,90
Day3 - Part2,(default),,108986053,91
Day3 - Part2,(default),,110144482,92
Day3 - Part2,(default),,113041435,93
Day3 - Part2,(default),,115388927,94
Day3 - Part2,(default),,114167282,95
Day3 - Part2,(default),,116522080,96
Day3 - Part2,(default),,115879593,97
Day3 - Part2,(default),,117414232,98
Day3 - Part2,(default),,118615062,99
Day3 - Part2,(default),,131707023,100
